dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
compas,age,RandomForestClassifier,406955,54766,129391,36923,386824,34745,47970,2572,94.99,63.18,37.08,6.78,594033,108159,169060,813187,187079,53393,39669,776264,31.61,49.31,23.47,95.44,3301.08,3303.52,3301.7,11565.02,32.7,176.96,141.48,5227.38,117.18,10.52,14.53,0.21,1186563,,1216179.5,
compas,age,SVC,789805,518472,770687,21150,702602,335566,307558,3800,88.99,64.71,39.91,17.84,1000000,998267,1000062,945164,210195,479796,229375,924014,21.02,48.06,22.94,97.75,969.57,3012,1835.8,708.92,2.93,142.99,10.77,240.06,725.78,115.66,167.66,5.42,4506430,,8161989,
compas,age,Sequential,282228,23246,116793,13208,271021,16022,54750,1703,96.03,75.49,46.87,12.85,389800,81267,148680,495964,107572,58021,31887,482756,27.6,78.92,21.45,97.33,3301.01,3304.09,3301.75,6344.29,29.27,308.25,85.45,3753.92,82.1,4.85,16.58,0.27,1066777,,1087274,
compas,race,DecisionTreeClassifier,744304,523512,793224,10326,736868,470947,579952,5383,99,89.96,73.11,52.73,1000000,1000067,1000062,1036653,255696,476555,206838,1026327,25.57,47.65,20.68,99,216.34,657.81,443.6,71.25,0.42,2.79,0.72,12.53,3423.99,734.12,1307.41,76.64,2084286,,4470041,
compas,race,LogisticRegression,657395,450387,678814,8466,437524,142430,168940,139,66.57,31.62,24.88,1.28,1000000,1000061,1000062,129483,342605,549674,321248,121017,34.26,54.96,32.12,93.63,190.11,517.59,389.46,43.39,0.96,5.4,3.83,,2303.18,283.84,433.89,2.5,2785739,,5584802.75,
compas,race,RandomForestClassifier,489847,93009,210359,21839,483030,72346,112898,4070,98.6,77.77,53.67,18.33,679633,179770,266427,891791,189786,86761,56068,869953,27.9,48.26,21.04,97.47,3300.96,3301.88,3301.18,4222.92,13.68,70.69,36.27,1857.12,146.33,21.91,34.2,0.96,1188188,,1205305,
compas,race,SVC,766376,508169,747016,32487,669746,281131,239300,2999,87.38,55.32,32.04,9.42,1000000,1000107,1000062,968304,233624,491938,253046,935817,23.36,49.19,25.3,96.67,679.65,2033.72,1278.62,793.96,2.58,181.74,10.2,271.37,987.01,141.79,187.16,3.87,3113332,,5608908.5,
compas,race,Sequential,284747,27351,156008,15034,234505,12118,52576,274,82.36,38.79,33.71,1.98,423600,129577,204782,257997,138853,102226,48774,242962,32.78,85.29,23.82,94.1,3301.18,3304.03,3301.24,4542.21,31.94,1201.55,108.06,,71.04,3.67,15.93,0.07,1065555,,1084145.5,
compas,sex,DecisionTreeClassifier,733648,514129,788754,35126,720957,413020,419296,2787,98.27,80.33,53.16,6.85,1000000,1000129,1000062,873608,266352,486000,211308,838483,26.64,48.59,21.13,96.27,154.94,201.69,245.95,112.3,0.32,5.91,0.78,47.81,4653.74,2047.79,1704.87,21.46,1476136,,2000124,
compas,sex,LogisticRegression,675738,443446,674474,5937,408623,110500,135923,82,60.48,24.92,20.15,1.17,1000000,1000079,1000062,83791,324262,556633,325588,77854,32.43,55.66,32.56,93.47,114.61,148.55,193.64,12.72,0.59,6.48,2.49,,3566.34,743.92,701.96,5.68,1392944,,2000124,
